method,run_name,organ,site,n_seeds,seeds,dice_mean,dice_std,dice_mean_pm_std,msd_mm_mean,msd_mm_std,msd_mm_mean_pm_std,hd95_mm_mean,hd95_mm_std,hd95_mm_mean_pm_std
bapmos_medsam,pfus1,Anus,pfus1,3,"42,43,44",0.869595,0.008988,0.8696±0.0090,7.407904,0.532498,7.4079±0.5325,18.749273,1.308948,18.7493±1.3089
bapmos_medsam,pfus1,Bladder,pfus1,3,"42,43,44",0.827592,0.010591,0.8276±0.0106,12.406732,0.807078,12.4067±0.8071,30.741831,2.23668,30.7418±2.2367
bapmos_medsam,pfus1,Levator ani muscle,pfus1,3,"42,43,44",0.881559,0.009668,0.8816±0.0097,5.124186,0.393083,5.1242±0.3931,12.288416,0.553238,12.2884±0.5532
bapmos_medsam,pfus1,Pubis,pfus1,3,"42,43,44",0.890934,0.000971,0.8909±0.0010,5.01115,0.016223,5.0112±0.0162,12.339729,0.373325,12.3397±0.3733
bapmos_medsam,pfus1,Rectum,pfus1,3,"42,43,44",0.834729,0.01111,0.8347±0.0111,17.110842,1.040557,17.1108±1.0406,43.491277,1.068124,43.4913±1.0681
bapmos_medsam,pfus1,Urethra,pfus1,3,"42,43,44",0.800569,0.005223,0.8006±0.0052,6.399703,0.14505,6.3997±0.1451,14.877152,0.216306,14.8772±0.2163
bapmos_medsam,pfus1,Uterus,pfus1,3,"42,43,44",0.875323,0.005405,0.8753±0.0054,15.61538,0.613126,15.6154±0.6131,40.203602,0.230671,40.2036±0.2307
bapmos_medsam,pfus1,Vagina,pfus1,3,"42,43,44",0.784432,0.00674,0.7844±0.0067,12.686602,0.392405,12.6866±0.3924,32.072883,1.283731,32.0729±1.2837
bapmos_medsam,pfus1,all,pfus1,3,"42,43,44",0.845592,0.004124,0.8456±0.0041,10.220313,0.277231,10.2203±0.2772,25.59552,0.451394,25.5955±0.4514
bapmos_sam,pfus1,Anus,pfus1,3,"42,43,44",0.871076,0.009325,0.8711±0.0093,7.338043,0.468506,7.3380±0.4685,17.862183,0.446672,17.8622±0.4467
bapmos_sam,pfus1,Bladder,pfus1,3,"42,43,44",0.852737,0.005796,0.8527±0.0058,10.543295,0.345,10.5433±0.3450,25.868994,1.44884,25.8690±1.4488
bapmos_sam,pfus1,Levator ani muscle,pfus1,3,"42,43,44",0.883087,0.003418,0.8831±0.0034,5.092168,0.090826,5.0922±0.0908,11.851632,0.316949,11.8516±0.3169
bapmos_sam,pfus1,Pubis,pfus1,3,"42,43,44",0.894407,0.00837,0.8944±0.0084,4.816878,0.344635,4.8169±0.3446,11.667602,0.621007,11.6676±0.6210
bapmos_sam,pfus1,Rectum,pfus1,3,"42,43,44",0.84844,0.004645,0.8484±0.0046,15.660402,0.388382,15.6604±0.3884,39.722144,0.810285,39.7221±0.8103
bapmos_sam,pfus1,Urethra,pfus1,3,"42,43,44",0.824139,0.007589,0.8241±0.0076,5.609199,0.223547,5.6092±0.2235,12.935888,0.611549,12.9359±0.6115
bapmos_sam,pfus1,Uterus,pfus1,3,"42,43,44",0.878877,0.009078,0.8789±0.0091,15.445826,1.112172,15.4458±1.1122,37.584467,2.952594,37.5845±2.9526
bapmos_sam,pfus1,Vagina,pfus1,3,"42,43,44",0.804487,0.005435,0.8045±0.0054,11.478479,0.4859,11.4785±0.4859,29.607654,0.96049,29.6077±0.9605
bapmos_sam,pfus1,all,pfus1,3,"42,43,44",0.857156,0.004857,0.8572±0.0049,9.498036,0.28371,9.4980±0.2837,23.38757,0.585415,23.3876±0.5854
box,pfus1,Anus,pfus1,3,"42,43,44",0.870743,0.010531,0.8707±0.0105,7.352611,0.592771,7.3526±0.5928,18.386638,1.275379,18.3866±1.2754
box,pfus1,Bladder,pfus1,3,"42,43,44",0.833435,0.011604,0.8334±0.0116,11.722793,0.90878,11.7228±0.9088,27.906793,2.511147,27.9068±2.5111
box,pfus1,Levator ani muscle,pfus1,3,"42,43,44",0.879075,0.006108,0.8791±0.0061,5.226981,0.270083,5.2270±0.2701,11.907042,0.835158,11.9070±0.8352
box,pfus1,Pubis,pfus1,3,"42,43,44",0.895719,0.006041,0.8957±0.0060,4.788652,0.312693,4.7887±0.3127,11.527036,0.875196,11.5270±0.8752
box,pfus1,Rectum,pfus1,3,"42,43,44",0.837308,0.005559,0.8373±0.0056,16.972365,0.490529,16.9724±0.4905,44.352879,1.892358,44.3529±1.8924
box,pfus1,Urethra,pfus1,3,"42,43,44",0.805628,0.0029,0.8056±0.0029,6.141617,0.099097,6.1416±0.0991,13.942243,0.335956,13.9422±0.3360
box,pfus1,Uterus,pfus1,3,"42,43,44",0.860821,0.006254,0.8608±0.0063,17.574554,1.046574,17.5746±1.0466,43.854229,2.94179,43.8542±2.9418
box,pfus1,Vagina,pfus1,3,"42,43,44",0.788022,0.003581,0.7880±0.0036,12.398009,0.275686,12.3980±0.2757,32.926859,0.479961,32.9269±0.4800
box,pfus1,all,pfus1,3,"42,43,44",0.846344,0.001958,0.8463±0.0020,10.272198,0.16161,10.2722±0.1616,25.600465,0.616973,25.6005±0.6170
medsam,pfus1,Anus,pfus1,3,"42,43,44",0.860568,0.003301,0.8606±0.0033,7.876184,0.14451,7.8762±0.1445,19.174943,0.494414,19.1749±0.4944
medsam,pfus1,Bladder,pfus1,3,"42,43,44",0.825864,0.004859,0.8259±0.0049,12.18645,0.306778,12.1865±0.3068,30.128871,1.303854,30.1289±1.3039
medsam,pfus1,Levator ani muscle,pfus1,3,"42,43,44",0.872961,0.001169,0.8730±0.0012,5.512651,0.072542,5.5127±0.0725,12.113871,0.333814,12.1139±0.3338
medsam,pfus1,Pubis,pfus1,3,"42,43,44",0.894789,0.006048,0.8948±0.0060,4.830939,0.236568,4.8309±0.2366,11.788876,0.139347,11.7889±0.1393
medsam,pfus1,Rectum,pfus1,3,"42,43,44",0.838474,0.012654,0.8385±0.0127,17.035726,1.179373,17.0357±1.1794,43.700261,3.140289,43.7003±3.1403
medsam,pfus1,Urethra,pfus1,3,"42,43,44",0.803254,0.010703,0.8033±0.0107,6.290537,0.37039,6.2905±0.3704,14.427897,0.893787,14.4279±0.8938
medsam,pfus1,Uterus,pfus1,3,"42,43,44",0.871492,0.004458,0.8715±0.0045,16.109764,0.478244,16.1098±0.4782,41.54927,0.572564,41.5493±0.5726
medsam,pfus1,Vagina,pfus1,3,"42,43,44",0.776979,0.004269,0.7770±0.0043,13.187574,0.329862,13.1876±0.3299,34.063138,2.664697,34.0631±2.6647
medsam,pfus1,all,pfus1,3,"42,43,44",0.843048,0.00378,0.8430±0.0038,10.378728,0.306308,10.3787±0.3063,25.868391,0.973753,25.8684±0.9738
nnunet,pfus1,Anus,pfus1,3,"42,43,44",0.768559,0.006457,0.7686±0.0065,15.71274,0.948668,15.7127±0.9487,46.863438,6.184336,46.8634±6.1843
nnunet,pfus1,Bladder,pfus1,3,"42,43,44",0.732317,0.009556,0.7323±0.0096,20.832015,1.708569,20.8320±1.7086,55.987815,4.79994,55.9878±4.7999
nnunet,pfus1,Levator ani muscle,pfus1,3,"42,43,44",0.707152,0.011551,0.7072±0.0116,15.853404,0.05644,15.8534±0.0564,40.451623,2.345512,40.4516±2.3455
nnunet,pfus1,Pubis,pfus1,3,"42,43,44",0.726874,0.005879,0.7269±0.0059,15.328057,0.454792,15.3281±0.4548,38.981657,2.433963,38.9817±2.4340
nnunet,pfus1,Rectum,pfus1,3,"42,43,44",0.66995,0.004191,0.6700±0.0042,41.618633,2.166776,41.6186±2.1668,111.517643,6.368497,111.5176±6.3685
nnunet,pfus1,Urethra,pfus1,3,"42,43,44",0.720229,0.010705,0.7202±0.0107,11.351515,1.255997,11.3515±1.2560,34.337016,4.398945,34.3370±4.3989
nnunet,pfus1,Uterus,pfus1,3,"42,43,44",0.670906,0.006662,0.6709±0.0067,47.297195,1.03845,47.2972±1.0384,118.591525,5.752383,118.5915±5.7524
nnunet,pfus1,Vagina,pfus1,3,"42,43,44",0.723667,0.004274,0.7237±0.0043,19.064114,0.550411,19.0641±0.5504,58.356944,1.638657,58.3569±1.6387
nnunet,pfus1,all,pfus1,3,"42,43,44",0.714957,0.006132,0.7150±0.0061,23.382209,0.446297,23.3822±0.4463,63.135958,1.792482,63.1360±1.7925
unet,pfus1,Anus,pfus1,3,"42,43,44",0.787114,0.008826,0.7871±0.0088,12.375561,0.546554,12.3756±0.5466,35.07788,0.865922,35.0779±0.8659
unet,pfus1,Bladder,pfus1,3,"42,43,44",0.788744,0.002243,0.7887±0.0022,16.192388,0.751957,16.1924±0.7520,43.726734,6.102162,43.7267±6.1022
unet,pfus1,Levator ani muscle,pfus1,3,"42,43,44",0.75021,0.002252,0.7502±0.0023,11.857008,0.053505,11.8570±0.0535,30.066697,0.128798,30.0667±0.1288
unet,pfus1,Pubis,pfus1,3,"42,43,44",0.756698,0.004522,0.7567±0.0045,11.868616,0.226909,11.8686±0.2269,28.994064,0.75028,28.9941±0.7503
unet,pfus1,Rectum,pfus1,3,"42,43,44",0.68956,0.006508,0.6896±0.0065,33.764706,0.616998,33.7647±0.6170,79.401649,1.977709,79.4016±1.9777
unet,pfus1,Urethra,pfus1,3,"42,43,44",0.673574,0.009624,0.6736±0.0096,10.638716,0.207846,10.6387±0.2078,24.489848,0.547436,24.4898±0.5474
unet,pfus1,Uterus,pfus1,3,"42,43,44",0.722322,0.009196,0.7223±0.0092,40.770058,4.040515,40.7701±4.0405,116.135045,18.92243,116.1350±18.9224
unet,pfus1,Vagina,pfus1,3,"42,43,44",0.748205,0.004616,0.7482±0.0046,15.828472,0.624713,15.8285±0.6247,49.49738,2.69364,49.4974±2.6936
unet,pfus1,all,pfus1,3,"42,43,44",0.739553,0.000841,0.7396±0.0008,19.161941,0.559313,19.1619±0.5593,50.923662,3.207442,50.9237±3.2074
