method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
bapmos_greedy,pooled_seed43_rep2,43,simulation,Bladder,0.9965510012917607,0.3397470137251167,0.7929239459650311,14.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,simulation,PTV,0.9911010365026619,0.21556378155180944,0.5577609411284973,14.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,simulation,Rectum,0.9788513926700914,0.16385922313778475,0.4091036541005293,14.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,simulation,all,0.9916258576161284,0.20523440636646054,0.5128276732190801,56.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case1,Bladder,0.9817573584588244,0.5152833261358778,1.2169147481170106,12.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case1,PTV,0.9844027865528672,0.2091184474761251,0.5834490470922604,12.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case1,Rectum,0.9867513156889786,0.21423260857152668,0.49172773508493856,12.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case1,Urethra,0.9628298763759545,0.15800588741001148,0.3474159513292123,12.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case1,all,0.9789353342691562,0.23569811315051664,0.5696594196348893,48.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case2,Bladder,0.9778968975046258,0.49765853330538684,1.2788407133732285,13.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case2,PTV,0.9799211006992437,0.2003156878851224,0.4978381821705802,13.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case2,Rectum,0.9743294532961558,0.1703366384745841,0.45158466082586524,13.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case2,Urethra,0.9671017102582581,0.17552898854437488,0.4080234178827701,13.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,case2,all,0.9748122904395708,0.24296767380514123,0.6148523884844181,52.0,inference_output/prostate/pooled/bapmos_greedy/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_greedy,pooled_seed43_rep2,43,pooled,Bladder,0.9603901419393343,0.46885600563261204,1.1570225588554097,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_greedy,pooled_seed43_rep2,43,pooled,PTV,0.9809074086253947,0.20753094386242932,0.5414982693344593,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_greedy,pooled_seed43_rep2,43,pooled,Rectum,0.9774633765285442,0.18316585724949033,0.45078308398028943,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_greedy,pooled_seed43_rep2,43,pooled,Urethra,0.9417520499912537,0.1661833346060477,0.3756994357208726,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_greedy,pooled_seed43_rep2,43,pooled,all,0.9703210975987274,0.23078156827183327,0.5729379082886461,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
