method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
bapmos_heuristic,pooled_seed44_rep3,44,simulation,Bladder,0.9979008606154353,0.2013129937840047,0.47672313051531034,14.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,simulation,PTV,0.9928712210937036,0.1669278667560327,0.425331929433831,14.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,simulation,Rectum,0.9822779420726534,0.13408896880060314,0.33452931710973627,14.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,simulation,all,0.9932625059454481,0.1548065586568144,0.3863545234069686,56.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case1,Bladder,0.9858662250298583,0.39237159087480755,0.8947399081956325,12.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case1,PTV,0.9834978827769354,0.2260429604514427,0.5735015913327614,12.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case1,Rectum,0.9865928245924619,0.20523431523689406,0.4714227118239311,12.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case1,Urethra,0.9540532049458338,0.20064677596219957,0.46364726601453143,12.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case1,all,0.9775025343362724,0.23248057570007696,0.5486886249933578,48.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case2,Bladder,0.9860942331061489,0.30826767167465563,0.7343476211547937,13.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case2,PTV,0.9770497838541452,0.2288895110038912,0.5427082783531302,13.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case2,Rectum,0.9732334291488287,0.1778201099416481,0.46574301480387365,13.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case2,Urethra,0.9600884572983327,0.2125731008480102,0.48090369027975843,13.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,case2,all,0.9741164758518638,0.22563731754225635,0.5443900454897848,52.0,inference_output/prostate/pooled/bapmos_heuristic/pooled_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
bapmos_heuristic,pooled_seed44_rep3,44,pooled,Bladder,0.9728736985253089,0.30937850332670236,0.7249687408865727,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_heuristic,pooled_seed44_rep3,44,pooled,PTV,0.9801272959579654,0.2094470525637991,0.5167333675712298,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_heuristic,pooled_seed44_rep3,44,pooled,Rectum,0.978372561801756,0.17222573193737414,0.422702786001332,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_heuristic,pooled_seed44_rep3,44,pooled,Urethra,0.9286525602818887,0.20621239424224452,0.4717002640049707,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_heuristic,pooled_seed44_rep3,44,pooled,all,0.9701795609083307,0.20995528888222947,0.5055496262730861,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
