method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
bapmos_random,pooled_seed43_rep2,43,simulation,Bladder,0.9975465482547969,0.23976611013784252,0.640407287708102,14.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,simulation,PTV,0.9890708672699453,0.2655558664652397,0.6759259265979369,14.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,simulation,Rectum,0.9810293892441386,0.14398160736192891,0.3456858219270269,14.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,simulation,all,0.9919117011922202,0.20154501737265965,0.5063660444012524,56.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case1,Bladder,0.9916995481864297,0.25550293975061933,0.688008792555329,12.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case1,PTV,0.9835911006156515,0.22024315336912625,0.5588026307023294,12.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case1,Rectum,0.9827044595129767,0.2839052446698453,0.7519200745961689,12.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case1,Urethra,0.9533647508193832,0.20362798120689707,0.4160862505449069,12.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case1,all,0.9778399647836103,0.24363899772781616,0.6100905983653201,48.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case2,Bladder,0.9832844950539884,0.370207239949171,0.8932828439791415,13.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case2,PTV,0.979810967184205,0.19861018538950412,0.47389190562839945,13.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case2,Rectum,0.9723673361888258,0.1839549453877363,0.44122390762620695,13.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case2,Urethra,0.9648900313402808,0.18529204981530506,0.40589613485652015,13.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,case2,all,0.975088207441825,0.2241978824943373,0.5306599649534784,52.0,inference_output/prostate/pooled/bapmos_random/pooled_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
bapmos_random,pooled_seed43_rep2,43,pooled,Bladder,0.9749103349647258,0.3094829120757287,0.7804454957999722,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_random,pooled_seed43_rep2,43,pooled,PTV,0.9795875974187239,0.22518378010611145,0.5599753294414397,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_random,pooled_seed43_rep2,43,pooled,Rectum,0.976218295257954,0.2045184749613254,0.5149923926333322,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_random,pooled_seed43_rep2,43,pooled,Urethra,0.9322631611504165,0.19507121322415413,0.4113308632236598,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
bapmos_random,pooled_seed43_rep2,43,pooled,all,0.9700846847165161,0.22523924461970474,0.5523424842017481,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
