method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
box_point,box10_point90_seed43_rep2,43,simulation,Bladder,0.9902557601021312,1.0339430456199825,1.8458378804971052,14.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,simulation,PTV,0.9883363500902963,0.28840033457088854,0.7011212544756609,14.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,simulation,Rectum,0.9797627889707007,0.15270194102557302,0.3557257064259444,14.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,simulation,all,0.9895887247907822,0.3137439766793675,0.6715130587034833,56.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case1,Bladder,0.9697280619323583,0.8055801797309587,1.7957897668644824,12.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case1,PTV,0.8923103160081242,0.8532290643389182,2.0645585871312777,12.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case1,Rectum,0.9846529547565095,0.2398755652664348,0.5041617872434745,12.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case1,Urethra,0.9329638885520298,0.3113367640434659,0.7463678691569962,12.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case1,all,0.9449138053122553,0.4930479755611832,1.145002143994457,48.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case2,Bladder,0.97009502457097,0.5535056619584507,1.3348919450080718,13.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case2,PTV,0.9693280137955953,0.31099540685003935,0.7828784357745368,13.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case2,Rectum,0.9686394488641946,0.20993253075850857,0.47708158104962894,13.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case2,Urethra,0.9528476869393765,0.2477800548747772,0.5630216892746788,13.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,case2,all,0.965227543542534,0.31487034428045024,0.7548063259680977,52.0,inference_output/prostate/pooled/box_point/box10_point90_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
box_point,box10_point90_seed43_rep2,43,pooled,Bladder,0.9365394788600535,0.7284778206780669,1.5760654517146961,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
box_point,box10_point90_seed43_rep2,43,pooled,PTV,0.9381898957568124,0.46688698241295773,1.1428553267918962,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
box_point,box10_point90_seed43_rep2,43,pooled,Rectum,0.9749950667972129,0.2005767975385054,0.444758494730827,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
box_point,box10_point90_seed43_rep2,43,pooled,Urethra,0.90550577285575,0.28167696643141116,0.660806318545248,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
box_point,box10_point90_seed43_rep2,43,pooled,all,0.9464325905051472,0.3771344826829843,0.8705235981012799,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
