method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,simulation,Bladder,0.9962104164871229,0.3688700590761447,0.8404830452080678,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,simulation,PTV,0.9841499272457938,0.39412922442425613,0.9043867742218585,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,simulation,Rectum,0.9804566700833848,0.14892919035039792,0.34652236000623365,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,simulation,all,0.9902042534540755,0.2683718117188131,0.6174666009873223,56.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case1,Bladder,0.9860641177821834,0.43573243899404657,1.055227734209153,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case1,PTV,0.9182991452988886,0.5934834419326802,1.492690106828041,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case1,Rectum,0.9852905485198109,0.2482245754424064,0.4962248176731856,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case1,Urethra,0.9399545594315916,0.25406475395214234,0.5747691778389923,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case1,all,0.9574020927581186,0.36653011122110074,0.854787064638762,48.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case2,Bladder,0.9671259733927058,0.8424341538854306,1.770774769780157,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case2,PTV,0.9698993062366613,0.329248682526575,0.7473525067649378,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case2,Rectum,0.968446945723345,0.21184487356765283,0.47368507614557004,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case2,Urethra,0.9597246325408838,0.21729488707717182,0.5263761739844889,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,case2,all,0.9662992144733991,0.37025354287300816,0.8178060141927851,52.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_1_5_1_point_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,pooled,Bladder,0.953739492736507,0.6247556436001881,1.366984532922994,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,pooled,PTV,0.9468793235368125,0.42798327291771093,1.018064067020945,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,pooled,Rectum,0.9754197216516743,0.20274682282165238,0.43781434199298,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,pooled,Urethra,0.9170583290807058,0.23690548274382275,0.552185776040224,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_1_5_1_point_dom_seed43_rep2,43,pooled,all,0.9537691255152623,0.34293402380690574,0.7796382349139142,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
