method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,simulation,Bladder,0.9981082672488244,0.18426255427116742,0.4935015680953055,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,simulation,PTV,0.9925109234186218,0.17998564297641897,0.48122413298475336,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,simulation,Rectum,0.979005738273382,0.15907761355846492,0.37055059338356994,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,simulation,all,0.9924062322352071,0.17006624217928548,0.42742204257298066,56.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case1,Bladder,0.990498472395696,0.27671731643857606,0.715824000000001,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case1,PTV,0.9833714423759018,0.21927069063540156,0.5324717394910554,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case1,Rectum,0.9852879297464948,0.2272392926115757,0.47714444010930723,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case1,Urethra,0.9541773150273825,0.19770136238204286,0.40108105226627194,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case1,all,0.9783337898863688,0.2239026633899445,0.5027249501473141,48.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case2,Bladder,0.9855804844744019,0.30880809558531463,0.7147120285805458,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case2,PTV,0.9798926547650169,0.21089015067442676,0.49849918770755125,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case2,Rectum,0.9701748416137769,0.19975079472334045,0.4683810026200988,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case2,Urethra,0.9650648462747929,0.1898210704187073,0.4307991841995103,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,case2,all,0.9751782067819973,0.2221174246507573,0.5176421559668133,52.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed42/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,pooled,Bladder,0.9765745505999371,0.2729509712617863,0.6676274931678386,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,pooled,PTV,0.9811404916105583,0.20413296035331688,0.5035084368257631,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,pooled,Rectum,0.9754802409646967,0.19523033188563518,0.43784375516387464,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,pooled,Urethra,0.9330647187933931,0.1940238927991529,0.4149495138351165,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_2_3_5_prof_seed42,42,pooled,all,0.970681251833842,0.2094544937898834,0.48937034199345736,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
