method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,simulation,Bladder,0.9977232201390637,0.22193649573562566,0.5302399999999996,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,simulation,PTV,0.991636605478147,0.20225897014216784,0.5143879063400654,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,simulation,Rectum,0.9815446045956789,0.1386262668189391,0.3455109470753723,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,simulation,all,0.9927261075532224,0.1729023091797357,0.43193093841521063,56.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case1,Bladder,0.987976746549991,0.37850245078669287,1.002386964824462,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case1,PTV,0.9821016448144038,0.24747688394137926,0.61450978716099,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case1,Rectum,0.9861430710929086,0.21453138426835916,0.46031786448712303,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case1,Urethra,0.9510760603238714,0.21707521850620093,0.4836190663884367,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case1,all,0.9768243806952936,0.2440084884208819,0.5737243287484767,48.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case2,Bladder,0.9825013855485826,0.3353184876890229,0.8103013904641853,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case2,PTV,0.9768624033508708,0.24198683536785812,0.5645580619486069,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case2,Rectum,0.9702163776554186,0.19923760881884495,0.4646444468248486,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case2,Urethra,0.9598395739773077,0.21858264796900556,0.4934777415590113,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,case2,all,0.9723549351330448,0.24250712624399437,0.5678983670978108,52.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_2_3_5_prof_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,pooled,Bladder,0.9711688609055971,0.32336062172691493,0.8051698280390818,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,pooled,PTV,0.9789114486009408,0.23171549037220737,0.5644925328297595,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,pooled,Rectum,0.9768044064849956,0.18370015743013923,0.42231527582352224,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,pooled,Urethra,0.9260551457060973,0.2177786855888431,0.4882197814680382,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_2_3_5_prof_seed44_rep3,44,pooled,all,0.9685392438646052,0.22526275754500585,0.5352285633328062,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
