method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,simulation,Bladder,0.9962520651563829,0.3801964876197918,0.8860162000390369,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,simulation,PTV,0.9917458895377751,0.20093973655577532,0.5168308845662214,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,simulation,Rectum,0.9798959183767751,0.1539575541742746,0.3416428984045861,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,simulation,all,0.9919734682677334,0.19985573924802702,0.4753850559195057,56.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case1,Bladder,0.9889349468895072,0.3190661285035432,0.8023426454525728,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case1,PTV,0.9810821377343228,0.25116465318284903,0.6203373129487435,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case1,Rectum,0.9824842952690717,0.2766140657972989,0.5670157537210035,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case1,Urethra,0.9538544000044227,0.19954593681727695,0.4128595215501193,12.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case1,all,0.9765889449743312,0.25613583868986717,0.5727112610727872,48.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case2,Bladder,0.986267348720651,0.2976881840632703,0.7215337181719715,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case2,PTV,0.9783649665441918,0.22223230831783314,0.5238053965273289,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case2,Rectum,0.9681673358709288,0.21386914446477343,0.4795627119962123,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case2,Urethra,0.9633784474512664,0.19757872289196218,0.4481592120113888,13.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,case2,all,0.9740445246467595,0.22935720642197657,0.5337487865289137,52.0,inference_output/prostate/pooled/boxpoint_box_point/ratio_5_1_1_box_dom_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,pooled,Bladder,0.9740159863022794,0.3214765189511743,0.7798682292236574,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,pooled,PTV,0.9792057557138406,0.22452424024872056,0.5506726178654211,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,pooled,Rectum,0.9741294219093082,0.21484057225061115,0.46225981878472605,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,pooled,Urethra,0.931344841127969,0.19862790365213007,0.4293327104320451,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
boxpoint_box_point,ratio_5_1_1_box_dom_seed43_rep2,43,pooled,all,0.9689053070573664,0.23122592613118506,0.5325257240323396,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
