method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,simulation,Bladder,0.9979263769249814,0.2001038747257348,0.5211425198625418,14.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,simulation,PTV,0.992086597708388,0.1892185094036401,0.44935486981106304,14.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,simulation,Rectum,0.9810197684427994,0.14341587790158836,0.3244026342194783,14.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,simulation,all,0.9927581857690423,0.1676778643178761,0.39585220827170553,56.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case1,Bladder,0.9878339057882489,0.44752228367432945,1.2328079999999986,12.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case1,PTV,0.9827607334082215,0.22825368051401945,0.5407786271151698,12.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case1,Rectum,0.9851099740030512,0.22709064485917843,0.4702696725257364,12.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case1,Urethra,0.954266576610563,0.19930600521589825,0.3978543232714832,12.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case1,all,0.9774927974525212,0.24739115270790368,0.5643730394096129,48.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case2,Bladder,0.9863257809922683,0.2836647701404949,0.6443148897686435,13.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case2,PTV,0.9783343687845782,0.22611822850602925,0.5182086456971255,13.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case2,Rectum,0.9696070994352073,0.20347764666636242,0.4722537381068404,13.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case2,Urethra,0.9618834516992671,0.20553499283761628,0.4658190252832446,13.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,case2,all,0.9740376752278302,0.22638030260132752,0.5184927641325396,52.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,pooled,Bladder,0.9748008070934439,0.3125752964184277,0.7860616991405802,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,pooled,PTV,0.9800229321005202,0.21568894837770955,0.50432350735672,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,pooled,Rectum,0.9760139639683859,0.19098092532740538,0.4208816800033663,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,pooled,Urethra,0.9303789194278153,0.20221286610603334,0.42957118421030516,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_decay_per_organ,epsilon_decay_per_organ_seed42,42,pooled,all,0.969830550985474,0.21876859552381872,0.5032871869355545,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
