method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,simulation,Bladder,0.9980313512885651,0.18946881977457927,0.4767231305153112,14.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,simulation,PTV,0.9921132137376404,0.1975197752264202,0.4679550555999394,14.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,simulation,Rectum,0.9816853373066105,0.16266225174534835,0.33452931710973993,14.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,simulation,all,0.9929574755832041,0.17908464405440414,0.4023381957192611,56.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case1,Bladder,0.9897844471500375,0.2818747187975987,0.672422760735284,12.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case1,PTV,0.982898667318136,0.23334574021658364,0.5410117935840386,12.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case1,Rectum,0.9855702269057124,0.22149594216739965,0.4679953024913703,12.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case1,Urethra,0.9548422060476828,0.1953383430037924,0.40219549221198736,12.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case1,all,0.9782738868553921,0.22570510870238736,0.49673650766029764,48.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case2,Bladder,0.9860294228235673,0.2848990236917032,0.6919100459992656,13.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case2,PTV,0.9800559081863732,0.2065254057112863,0.49412532249047186,13.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case2,Rectum,0.970124024855211,0.19938659019485117,0.45872531673451983,13.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case2,Urethra,0.9645594507475775,0.19000418423189486,0.430799184199511,13.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,case2,all,0.9751922016531822,0.21610485989578335,0.5090391071718058,52.0,inference_output/prostate/pooled/epsilon_decay_per_organ/epsilon_decay_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,pooled,Bladder,0.9763024843247667,0.26358560716828966,0.6402307683201378,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,pooled,PTV,0.9808365268855818,0.21186981691741566,0.5003401837513821,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,pooled,Rectum,0.9766299933793954,0.19437573768846683,0.4193221119798012,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,pooled,Urethra,0.9331586221527136,0.1928490689102402,0.4155438818061651,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_decay_per_organ,epsilon_decay_per_organ_seed44_rep3,44,pooled,all,0.9709868051881247,0.21002319000668584,0.47747732356817985,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
