method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,simulation,Bladder,0.998452541296721,0.14653287600051754,0.371168000000002,14.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,simulation,PTV,0.9926222822781016,0.17653605139886508,0.4188703119440517,14.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,simulation,Rectum,0.9800203198224222,0.15253978123966022,0.3479015326240618,14.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,simulation,all,0.9927737858493113,0.16078751939446922,0.3774231332910505,56.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case1,Bladder,0.9898389550297666,0.28676925990748636,0.7001375631226541,12.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case1,PTV,0.984270557474105,0.21730319428933845,0.507062154711339,12.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case1,Rectum,0.9826918968622516,0.26772690837658536,0.5290342088197796,12.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case1,Urethra,0.9531859073387102,0.20245909267460277,0.4012658783230313,12.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case1,all,0.9774968291762084,0.24046064939847994,0.5128074902216446,48.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case2,Bladder,0.9870887812822934,0.278883116757315,0.6708548176726133,13.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case2,PTV,0.9796178155297088,0.2168463396769107,0.5010511283803077,13.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case2,Rectum,0.967100640820483,0.2197598669913165,0.4883196440408135,13.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case2,Urethra,0.9623323316532718,0.20450081213845778,0.465703624337258,13.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,case2,all,0.9740348923214392,0.22711357068372484,0.5227037491643713,52.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,pooled,Bladder,0.9777540853700792,0.2527755346380502,0.6150027125856369,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,pooled,PTV,0.9814330081156298,0.20489030957722534,0.4782001913487403,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,pooled,Rectum,0.9738541591579203,0.2131588232085551,0.45413557090785844,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,pooled,Urethra,0.9299034133038038,0.20341189509106844,0.43133682646300375,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed42,42,pooled,all,0.969840363922705,0.21486493628632894,0.4821366073976726,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
