method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,simulation,Bladder,0.9978413660447069,0.20887642425225028,0.5709533614829695,14.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,simulation,PTV,0.9923710580962855,0.1823288180619821,0.4267050253365333,14.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,simulation,Rectum,0.9808017163302051,0.1454130892272091,0.3297224733060291,14.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,simulation,all,0.9927535351177993,0.16718940441837912,0.39624479133958584,56.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case1,Bladder,0.9890254633668437,0.378900253871274,1.010302792834933,12.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case1,PTV,0.9829117177657984,0.23097782830434654,0.5603954394981827,12.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case1,Rectum,0.9853681189790766,0.22271862544911677,0.46254057704100887,12.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case1,Urethra,0.9536376113599693,0.20126793960900086,0.4119845519993751,12.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case1,all,0.9777357278679221,0.23870207552986736,0.5433676808275905,48.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case2,Bladder,0.9861656528141993,0.27932550868822675,0.6730113823315654,13.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case2,PTV,0.9779703161019808,0.2224453950692745,0.49744946337031376,13.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case2,Rectum,0.9691560717137782,0.20657493724567963,0.46368757862767873,13.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case2,Urethra,0.9626649339085953,0.19907495231842046,0.465519239823269,13.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,case2,all,0.9739892436346385,0.22406681831298106,0.514585710281948,52.0,inference_output/prostate/pooled/epsilon_greedy_per_organ/epsilon_greedy_per_organ_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,pooled,Bladder,0.9755884408294723,0.29267920350424526,0.7475107808649714,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,pooled,PTV,0.980058317862111,0.2129701519376084,0.4951099247985403,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,pooled,Rectum,0.9758477253900258,0.19114013959481105,0.4173634276876835,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,pooled,Urethra,0.930553031808758,0.20024454554006332,0.4369674063171923,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
epsilon_greedy_per_organ,epsilon_greedy_per_organ_seed43_rep2,43,pooled,all,0.9699250380133853,0.21468283485220235,0.49447531638183634,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
