method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
ucb1_global,ucb1_global_seed43_rep2,43,simulation,Bladder,0.998066553038874,0.1862063377014401,0.5002272706927454,14.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,simulation,PTV,0.9920402313965839,0.1912170119830967,0.4684205629720524,14.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,simulation,Rectum,0.9811760331637576,0.1421680127820403,0.33225494707537356,14.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,simulation,all,0.992820704399804,0.16606617809736143,0.4043135934887996,56.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/simulation/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case1,Bladder,0.9915895235251954,0.26391168100534484,0.7005440648739958,12.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case1,PTV,0.9826407069307149,0.23233917328497414,0.574632852800282,12.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case1,Rectum,0.9852749793817099,0.2245635936281387,0.47031156607449986,12.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case1,Urethra,0.9542091254027211,0.1970030601059536,0.39785432327148385,12.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case1,all,0.9784285838100851,0.2247723299385285,0.5091044034474058,48.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case1/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case2,Bladder,0.9858979688496746,0.311579710316897,0.6947631502462167,13.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case2,PTV,0.9786437286033224,0.21817862399482976,0.4997238334046774,13.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case2,Rectum,0.9704622851434568,0.19781427959171174,0.456244185787941,13.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case2,Urethra,0.9630263164510213,0.19836965883668456,0.4629849417849776,13.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,case2,all,0.9745075747618688,0.22604719317626645,0.5167461807768066,52.0,inference_output/prostate/pooled/ucb1_global/ucb1_global_seed43_rep2/case2/metrics_native_redone/summary_metrics.csv
ucb1_global,ucb1_global_seed43_rep2,43,pooled,Bladder,0.9777628299923109,0.2710945506674271,0.6547285802355526,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_global,ucb1_global_seed43_rep2,43,pooled,PTV,0.9800873398187981,0.21433830517835314,0.5128055580935713,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_global,ucb1_global_seed43_rep2,43,pooled,Rectum,0.9764506835353732,0.18790675292659936,0.4185566914704523,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_global,ucb1_global_seed43_rep2,43,pooled,Urethra,0.9313234412463953,0.19764080618029473,0.4282486119111143,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_global,ucb1_global_seed43_rep2,43,pooled,all,0.9706055889030882,0.21028533308329758,0.48535723666210023,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
