method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
ucb1_per_organ,ucb1_per_organ_seed42,42,simulation,Bladder,0.9978284042831509,0.21215323206224931,0.5025990482327654,14.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,simulation,PTV,0.9918879335571382,0.1945283123855584,0.4919270499281527,14.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,simulation,Rectum,0.9804477676154075,0.1481857650637246,0.3345293171097403,14.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,simulation,all,0.9925410263639242,0.17356015368422786,0.41456218330702316,56.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case1,Bladder,0.9900436911981344,0.2811059826561582,0.7645213241239156,12.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case1,PTV,0.983212204997531,0.22611569316101207,0.5200714670693516,12.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case1,Rectum,0.9860309335229359,0.2151265048681076,0.4373712823533658,12.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case1,Urethra,0.9538651401937382,0.19959807982773026,0.401081052266272,12.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case1,all,0.9782879924780848,0.22235660200342044,0.49078279716637563,48.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case2,Bladder,0.9866302179012163,0.26764505982501535,0.6410852149973146,13.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case2,PTV,0.9789919578702584,0.21967690292875475,0.4954215280782943,13.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case2,Rectum,0.9698513635365946,0.20134223744651922,0.46120644768110003,13.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case2,Urethra,0.9629662196773707,0.20097342072349092,0.4616203197643603,13.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,case2,all,0.97460993974636,0.21976261651071113,0.506412648777388,52.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed42/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed42,42,pooled,Bladder,0.976879627646967,0.25959993182760627,0.6466770675839401,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_per_organ,ucb1_per_organ_seed42,42,pooled,PTV,0.9803957660694554,0.21406396283547305,0.501768166330569,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_per_organ,ucb1_per_organ_seed42,42,pooled,Rectum,0.9761916478533332,0.18784319574553424,0.40960223194426787,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_per_organ,ucb1_per_organ_seed42,42,pooled,Urethra,0.9309961692087119,0.20023990557908522,0.4293327104320465,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_per_organ,ucb1_per_organ_seed42,42,pooled,all,0.9704238083206228,0.20887689750458144,0.47747439053853513,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
