method,run_name,seed,site,organ,dice,msd_mm,hd95_mm,n_slices,source
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,simulation,Bladder,0.9979675782616598,0.19529740834005116,0.48582061065276694,14.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,simulation,PTV,0.9921501541497745,0.19054057102506775,0.47121988988233415,14.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,simulation,Rectum,0.981342424041763,0.14157317257008503,0.32440263421947607,14.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,simulation,Urethra,1.0,,,14.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,simulation,all,0.9928650391132994,0.1666514764619493,0.3996363521472092,56.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/simulation/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case1,Bladder,0.9911812488569732,0.25869842983130464,0.7166731353567586,12.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case1,PTV,0.9814407518041638,0.24621368934188384,0.6253325142712328,12.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case1,Rectum,0.9840994419767232,0.24719990324367805,0.495660618386018,12.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case1,Urethra,0.9555089069009126,0.1923833223979065,0.3978543232714828,12.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case1,all,0.9780575873846932,0.23503582853059277,0.5341044598991578,48.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case1/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case2,Bladder,0.9853552763066357,0.29941439992059166,0.663575503028936,13.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case2,PTV,0.9799053845480277,0.21377091943626295,0.4850484104456861,13.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case2,Rectum,0.9684344260441805,0.21141913191551528,0.48101067015144455,13.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case2,Urethra,0.9643006090603327,0.19231192896847768,0.4313840222083486,13.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,case2,all,0.9744989239897942,0.22521475098727864,0.5074706749641923,52.0,inference_output/prostate/pooled/ucb1_per_organ/ucb1_per_organ_seed44_rep3/case2/metrics_native_redone/summary_metrics.csv
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,pooled,Bladder,0.9768099767095129,0.26547048169925097,0.6406559210419919,14.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,pooled,PTV,0.9802053726290388,0.21653464588459065,0.5229850854243445,30.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,pooled,Rectum,0.9753609936822774,0.1997396388810236,0.432339325798052,35.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,pooled,Urethra,0.9334676533730184,0.19235000546417302,0.41350151610868685,15.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
ucb1_per_organ,ucb1_per_organ_seed44_rep3,44,pooled,all,0.9704377705561631,0.2137102506715495,0.48928866597745047,94.0,"slice_weighted_pooled valid_boundary n=94 (simulation=24, case1=33, case2=37)"
