method,run_name,organ,site,n_seeds,seeds,dice_mean,dice_std,dice_mean_pm_std,msd_mm_mean,msd_mm_std,msd_mm_mean_pm_std,hd95_mm_mean,hd95_mm_std,hd95_mm_mean_pm_std
bapmos,pooled,Bladder,pooled,3,"42,43,44",0.974865,0.002921,0.9749±0.0029,0.311037,0.04378,0.3110±0.0438,0.79429,0.140767,0.7943±0.1408
bapmos,pooled,PTV,pooled,3,"42,43,44",0.980279,0.000944,0.9803±0.0009,0.211503,0.015442,0.2115±0.0154,0.538265,0.027033,0.5383±0.0270
bapmos,pooled,Rectum,pooled,3,"42,43,44",0.976355,0.002097,0.9764±0.0021,0.186251,0.01511,0.1863±0.0151,0.450867,0.053177,0.4509±0.0532
bapmos,pooled,Urethra,pooled,3,"42,43,44",0.934879,0.003274,0.9349±0.0033,0.18933,0.010733,0.1893±0.0107,0.434471,0.044562,0.4345±0.0446
bapmos,pooled,all,pooled,3,"42,43,44",0.970767,0.001879,0.9708±0.0019,0.213387,0.016839,0.2134±0.0168,0.527292,0.052043,0.5273±0.0520
bapmos_greedy,pooled,Bladder,pooled,3,"42,43,44",0.96585,0.005683,0.9659±0.0057,0.427429,0.070623,0.4274±0.0706,1.036859,0.179782,1.0369±0.1798
bapmos_greedy,pooled,PTV,pooled,3,"42,43,44",0.980954,0.000186,0.9810±0.0002,0.208093,0.002755,0.2081±0.0028,0.539602,0.001886,0.5396±0.0019
bapmos_greedy,pooled,Rectum,pooled,3,"42,43,44",0.976708,0.000677,0.9767±0.0007,0.187381,0.003969,0.1874±0.0040,0.452335,0.004233,0.4523±0.0042
bapmos_greedy,pooled,Urethra,pooled,3,"42,43,44",0.937463,0.007949,0.9375±0.0079,0.179966,0.023706,0.1800±0.0237,0.401652,0.047329,0.4017±0.0473
bapmos_greedy,pooled,all,pooled,3,"42,43,44",0.970183,0.000784,0.9702±0.0008,0.22856,0.004753,0.2286±0.0048,0.559155,0.020273,0.5592±0.0203
bapmos_heuristic,pooled,Bladder,pooled,3,"42,43,44",0.973399,0.001689,0.9734±0.0017,0.29826,0.017968,0.2983±0.0180,0.742776,0.070102,0.7428±0.0701
bapmos_heuristic,pooled,PTV,pooled,3,"42,43,44",0.979766,0.000795,0.9798±0.0008,0.213213,0.005064,0.2132±0.0051,0.525241,0.026203,0.5252±0.0262
bapmos_heuristic,pooled,Rectum,pooled,3,"42,43,44",0.97549,0.003452,0.9755±0.0035,0.201322,0.035326,0.2013±0.0353,0.473132,0.075504,0.4731±0.0755
bapmos_heuristic,pooled,Urethra,pooled,3,"42,43,44",0.930073,0.004298,0.9301±0.0043,0.202327,0.013497,0.2023±0.0135,0.44094,0.03088,0.4409±0.0309
bapmos_heuristic,pooled,all,pooled,3,"42,43,44",0.969296,0.002161,0.9693±0.0022,0.219715,0.017043,0.2197±0.0170,0.524785,0.046707,0.5248±0.0467
bapmos_medsam,pooled,Bladder,pooled,3,"42,43,44",0.970788,0.007811,0.9708±0.0078,0.364889,0.106239,0.3649±0.1062,0.877645,0.272013,0.8776±0.2720
bapmos_medsam,pooled,PTV,pooled,3,"42,43,44",0.980076,0.001681,0.9801±0.0017,0.21584,0.017972,0.2158±0.0180,0.563831,0.05767,0.5638±0.0577
