method,run_name,organ,site,n_seeds,seeds,dice_mean,dice_std,dice_mean_pm_std,msd_mm_mean,msd_mm_std,msd_mm_mean_pm_std,hd95_mm_mean,hd95_mm_std,hd95_mm_mean_pm_std
bapmos,pooled,PTV,pooled,3,"42,43,44",0.980279,0.000944,0.9803±0.0009,0.211503,0.015442,0.2115±0.0154,0.538265,0.027033,0.5383±0.0270
bapmos_greedy,pooled,PTV,pooled,3,"42,43,44",0.980954,0.000186,0.9810±0.0002,0.208093,0.002755,0.2081±0.0028,0.539602,0.001886,0.5396±0.0019
bapmos_heuristic,pooled,PTV,pooled,3,"42,43,44",0.979766,0.000795,0.9798±0.0008,0.213213,0.005064,0.2132±0.0051,0.525241,0.026203,0.5252±0.0262
bapmos_medsam,pooled,PTV,pooled,3,"42,43,44",0.980076,0.001681,0.9801±0.0017,0.21584,0.017972,0.2158±0.0180,0.563831,0.05767,0.5638±0.0577
bapmos_random,pooled,PTV,pooled,3,"42,43,44",0.978897,0.001402,0.9789±0.0014,0.230561,0.017955,0.2306±0.0180,0.59348,0.057956,0.5935±0.0580
box,pooled,PTV,pooled,3,"42,43,44",0.967653,0.004705,0.9677±0.0047,0.350647,0.031876,0.3506±0.0319,0.894904,0.079879,0.8949±0.0799
box_point,box10_point90,PTV,pooled,3,"42,43,44",0.955524,0.01644,0.9555±0.0164,0.419073,0.085024,0.4191±0.0850,1.025787,0.188286,1.0258±0.1883
box_point,box50_point50,PTV,pooled,3,"42,43,44",0.978385,0.001489,0.9784±0.0015,0.235178,0.010449,0.2352±0.0104,0.57365,0.049698,0.5737±0.0497
box_point,box90_point10,PTV,pooled,3,"42,43,44",0.979629,0.000969,0.9796±0.0010,0.222907,0.013175,0.2229±0.0132,0.531446,0.040227,0.5314±0.0402
boxpoint_box_point,ratio_1_1_1_balanced,PTV,pooled,3,"42,43,44",0.979667,0.00048,0.9797±0.0005,0.218745,0.005337,0.2187±0.0053,0.522739,0.019045,0.5227±0.0190
boxpoint_box_point,ratio_1_5_1_point_dom,PTV,pooled,3,"42,43,44",0.958472,0.011266,0.9585±0.0113,0.415804,0.074265,0.4158±0.0743,0.982308,0.150054,0.9823±0.1501
boxpoint_box_point,ratio_2_3_5_prof,PTV,pooled,3,"42,43,44",0.980348,0.001247,0.9803±0.0012,0.214726,0.014862,0.2147±0.0149,0.516881,0.042532,0.5169±0.0425
boxpoint_box_point,ratio_5_1_1_box_dom,PTV,pooled,3,"42,43,44",0.977787,0.001416,0.9778±0.0014,0.242672,0.015765,0.2427±0.0158,0.600887,0.043558,0.6009±0.0436
epsilon_decay_per_organ,epsilon_decay_per_organ,PTV,pooled,3,"42,43,44",0.980545,0.000453,0.9805±0.0005,0.211584,0.004256,0.2116±0.0043,0.497642,0.008363,0.4976±0.0084
epsilon_greedy_per_organ,epsilon_greedy_per_organ,PTV,pooled,3,"42,43,44",0.980668,0.0007,0.9807±0.0007,0.208492,0.00411,0.2085±0.0041,0.491306,0.011678,0.4913±0.0117
medsam,pooled,PTV,pooled,3,"42,43,44",0.965513,0.002794,0.9655±0.0028,0.372855,0.026931,0.3729±0.0269,0.899322,0.093224,0.8993±0.0932
nnunet,pooled,PTV,pooled,3,"42,43,44",0.974684,0.002485,0.9747±0.0025,0.287947,0.022959,0.2879±0.0230,0.709296,0.061306,0.7093±0.0613
point,pooled,PTV,pooled,3,"42,43,44",0.952288,0.012141,0.9523±0.0121,0.467978,0.030195,0.4680±0.0302,1.149381,0.038858,1.1494±0.0389
ucb1_global,ucb1_global,PTV,pooled,3,"42,43,44",0.980621,0.000736,0.9806±0.0007,0.210102,0.006872,0.2101±0.0069,0.497546,0.018659,0.4975±0.0187
ucb1_per_organ,ucb1_per_organ,PTV,pooled,3,"42,43,44",0.980342,0.00012,0.9803±0.0001,0.214727,0.001584,0.2147±0.0016,0.510202,0.011258,0.5102±0.0113
unet,pooled,PTV,pooled,3,"42,43,44",0.965657,0.001213,0.9657±0.0012,0.38886,0.038079,0.3889±0.0381,0.95958,0.057984,0.9596±0.0580
